ID,X1,value.Total.Energy.Emissions..CO2...Energy.,VALUE,X4
118,value.Barley.Emissions..CO2eq...Crop.residues.,0.610839646,TRUE,TRUE
145,value.Cattle.Emissions..CO2eq...Manure.applied.,0.706713307,TRUE,TRUE
149,value.Chickens..broilers.Direct.emissions..CO2eq...Manure.management.,0.71300317,TRUE,TRUE
152,value.Chickens..layers.Emissions..CO2eq...Manure.applied.,0.761363727,TRUE,TRUE
158,value.Electricity.Consumption.in.Agriculture,0.870462128,TRUE,TRUE
156,value.Electricity.Emissions..CO2eq...Energy.,0.865825094,TRUE,TRUE
6,value.Energy.for.power.irrigation.Consumption.in.Agriculture,0.51249916,TRUE,TRUE
2,value.Energy.for.power.irrigation.Emissions..CO2eq...Energy.,0.500019242,TRUE,TRUE
162,value.Gas.Diesel.oil.Consumption.in.Agriculture,0.938079648,TRUE,TRUE
17,value.Horses.Emissions..CO2eq...Manure.on.pasture.,0.517561441,TRUE,TRUE
11,value.Motor.Gasoline.Consumption.in.Agriculture,0.51580105,TRUE,TRUE
10,value.Motor.Gasoline.Emissions..CO2eq...Energy.,0.513425119,TRUE,TRUE
98,value.Oats.Emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
137,value.Potatoes.Emissions..CO2eq...Crop.residues.,0.700384117,TRUE,TRUE
66,value.Sheep.Emissions..CO2eq...Manure.management.,0.564977059,TRUE,TRUE
116,value.Swine..market.Indirect.emissions..CO2eq...Manure.management.,0.601050447,TRUE,TRUE
130,value.Transport.fuel.used.in.agriculture..excl..fishery..Consumption.in.Agriculture,0.664726422,TRUE,TRUE
128,value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2eq...Energy.,0.66382824,TRUE,TRUE
92,value.Turkeys.Emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
142,value.Wheat.Emissions..CO2eq...Crop.residues.,0.706117362,TRUE,TRUE
