,value.Total.Energy.Emissions..CO2...Energy.,VALUE
value.Cropland.organic.soils.Implied.emission.factor.for.N2O..Cultivation.of.organic.soils.,-0.48075952,FALSE
value.Grassland.organic.soils.Implied.emission.factor.for.N2O..Cultivation.of.organic.soils.,-0.411175308,FALSE
value.Camels.Implied.emission.factor.for.CH4..Manure.management.,-0.391768499,FALSE
value.Sheep.Implied.emission.factor.for.N2O..Manure.management.,-0.359090488,FALSE
value.Goats.Implied.emission.factor.for.CH4..Manure.management.,-0.349929886,FALSE
value.Asses.Implied.emission.factor.for.CH4..Manure.management.,-0.346837298,FALSE
value.Horses.Implied.emission.factor.for.CH4..Manure.management.,-0.337544867,FALSE
value.Mules.Implied.emission.factor.for.CH4..Manure.management.,-0.33238389,FALSE
value.Swine..breeding.Implied.emission.factor.for.N2O..Manure.management.,-0.33238389,FALSE
value.Swine..market.Implied.emission.factor.for.N2O..Manure.management.,-0.163464033,FALSE
value.Ducks.Implied.emission.factor.for.CH4..Manure.management.,-0.119051029,FALSE
value.Buffaloes.Implied.emission.factor.for.N2O..Manure.management.,-0.110741324,FALSE
value.Savanna.Implied.emission.factor.for.CH4..Burning...savanna.,-0.109873846,FALSE
value.Camels.and.Llamas.Emissions..CH4...Manure.management.,-0.109165228,FALSE
value.Camels.and.Llamas.Emissions..CO2eq..from.CH4..Manure.management.,-0.097889284,FALSE
value.Camels.and.Llamas.Emissions..CO2eq...Manure.management.,-0.085575365,FALSE
value.Camels.Emissions..CH4...Manure.management.,-0.084761558,FALSE
value.Camels.Emissions..CO2eq..from.CH4..Manure.management.,-0.083248161,FALSE
value.Camels.and.Llamas.Indirect.emissions..N2O...Manure.on.pasture.,-0.082166303,FALSE
value.Asses.Implied.emission.factor.for.N2O..Manure.applied.,-0.079184895,FALSE
value.Camels.and.Llamas.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,-0.078051198,FALSE
value.Camels.and.Llamas.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,-0.077454366,FALSE
value.Camels.and.Llamas.Direct.emissions..N2O...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Manure..N.content.that.leaches...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Manure..N.content.that.volatilises...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Manure..N.content...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Direct.emissions..CO2eq...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Indirect.emissions..CO2eq...Manure.on.pasture.,-0.07674689,FALSE
value.Camels.and.Llamas.Emissions..CO2eq...Manure.on.pasture.,-0.075833392,FALSE
value.Camels.and.Llamas.Emissions..N2O...Manure.on.pasture.,-0.074996936,FALSE
value.Cattle..non.dairy.Implied.emission.factor.for.N2O..Manure.on.pasture.,-0.072120255,FALSE
value.Camels.Emissions..CO2eq...Manure.management.,-0.071703121,FALSE
value.Chickens..broilers.Implied.emission.factor.for.CH4..Manure.management.,-0.066316643,FALSE
value.Camels.and.Llamas.Emissions..CH4...Enteric.,-0.066316643,FALSE
value.Camels.and.Llamas.Emissions..CO2eq...Enteric.,-0.065189048,FALSE
value.Camels.and.Llamas.Stocks,-0.059167731,FALSE
value.Woody.savanna.Implied.emission.factor.for.CH4..Burning...savanna.,-0.058497937,FALSE
value.Millet.Indirect.emissions..N2O...Crop.residues.,-0.058208203,FALSE
value.Millet.Implied.emission.factor.for.N2O..Crop.residues.,-0.056332322,FALSE
value.Camels.Indirect.emissions..N2O...Manure.on.pasture.,-0.051812222,FALSE
value.Camels.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,-0.050672945,FALSE
value.Camels.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,-0.050081037,FALSE
value.Camels.Direct.emissions..N2O...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Manure..N.content.that.leaches...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Manure..N.content.that.volatilises...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Manure..N.content...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Direct.emissions..CO2eq...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Indirect.emissions..CO2eq...Manure.on.pasture.,-0.049268668,FALSE
value.Camels.Emissions..CO2eq...Manure.on.pasture.,-0.049117945,FALSE
value.Savanna.Emissions..CH4...Burning...savanna.,-0.048392825,FALSE
value.Millet.Direct.emissions..N2O...Crop.residues.,-0.048298217,FALSE
value.Camels.Emissions..N2O...Manure.on.pasture.,-0.047814547,FALSE
value.Savanna.Emissions..N2O...Burning...savanna.,-0.047037546,FALSE
value.Millet.Emissions..N2O...Crop.residues.,-0.045233248,FALSE
value.Millet.Residues..Crop.residues.,-0.045233248,FALSE
value.Millet.Direct.emissions..CO2eq...Crop.residues.,-0.045233248,FALSE
